Dataset,miHATT,miSVM,miNB,miRF,miLSTM,siHTfe,siDTfe,siSVMfe,siNBfe,sikNNfe,siRFfe,siLSTM
FD001,0.94,0.35000000000000003,0.5999999999999999,0.9960000000000001,0.34,1.0,1.0,0.6500000000000001,0.6500000000000001,0.71,0.999,0.51
FD002,0.926923076923077,0.38846153846153847,0.5653846153846153,0.9880769230769232,0.3346153846153846,0.8692307692307695,1.0,0.6384615384615383,0.6307692307692306,0.7115384615384616,0.9988461538461539,0.45
FD003,0.89,0.35999999999999993,0.43000000000000005,0.99,0.34,0.99,1.0,0.4600000000000001,0.5499999999999999,0.6500000000000001,0.9970000000000001,0.33
FD004,0.8554216867469879,0.39759036144578314,0.602409638554217,0.9851405622489958,0.3333333333333333,0.7951807228915663,1.0,0.5783132530120482,0.6064257028112451,0.6746987951807227,0.9987951807228915,0.3493975903614458
DE-BB,0.9422875131164743,0.2130115424973767,0.6621196222455403,0.9991605456453307,0.2130115424973767,0.9748163693599159,1.0,0.2130115424973767,0.9055613850996853,1.0,0.9997901364113326,0.30325288562434416
DE-IR,1.0,0.21522842639593914,1.0,0.999492385786802,0.2152284263959391,1.0,1.0,0.21522842639593914,0.9908629441624368,0.996954314720812,1.0,0.39898477157360407
FE-BB,1.0,0.26482213438735175,0.8945981554677207,1.0,0.23715415019762845,0.9064558629776018,1.0,0.26482213438735175,0.7246376811594202,0.9960474308300393,0.9997364953886694,0.43478260869565216
FE-IR,1.0,0.257250945775536,0.9319041614123582,0.9996216897856242,0.2572509457755359,1.0,1.0,0.257250945775536,0.9129886506935687,0.9936948297604038,1.0,0.31399747793190413
