Dataset,miHATT,miSVM,miNB,miRF,miLSTM,siHTfe,siDTfe,siSVMfe,siNBfe,sikNNfe,siRFfe,siLSTM
FD001,0.9428104575163397,0.44557823129251706,0.7510446801671488,0.996078431372549,0.11333333333333334,1.0,1.0,0.66158368895211,0.6591531199374338,0.7123647186147186,0.9990196078431373,0.4950980392156863
FD002,0.9300773300773301,0.4503401360544218,0.7193903048475762,0.9883796539379602,0.444015444015444,0.8761989102136021,1.0,0.6686423054070112,0.634198697222529,0.7086637642193196,0.9988591846398898,0.5257278669043375
FD003,0.8960849186655638,0.4467353951890035,0.6024691358024691,0.9902240896358544,0.11333333333333334,0.9901960784313726,1.0,0.4926851851851852,0.6096438575430172,0.6539682539682541,0.9970868347338936,0.1134020618556701
FD004,0.8565096489210334,0.45207439198855504,0.7261547856984232,0.9857005475691405,0.1111111111111111,0.8047836800685679,1.0,0.6254389044943821,0.6198423303686462,0.6737012987012987,0.9988095238095237,0.5073353293413173
DE-BB,0.9516837606837607,0.042602308499475335,0.7090599142585752,0.9991978436452301,0.04260230849947534,0.975795785795565,1.0,0.042602308499475335,0.917641158330283,1.0,0.9997927461139897,0.150635138557509
DE-IR,1.0,0.043045685279187826,1.0,0.9995155011491018,0.04304568527918782,1.0,1.0,0.043045685279187826,0.991607305936073,0.9968799432716958,1.0,0.19975248306878862
FE-BB,1.0,0.06620553359683794,0.8975798808911828,1.0,0.05928853754940711,0.924966577540107,1.0,0.06620553359683794,0.8299421852571458,0.9961281044305548,0.9997524752475246,0.48516219794769944
FE-IR,1.0,0.064312736443884,0.9385447667788502,0.9996216889588251,0.06431273644388398,1.0,1.0,0.064312736443884,0.9220025510204082,0.9938542581211589,1.0,0.155083280955374
