Dataset,miHATT,miSVM,miNB,miRF,miLSTM,siHTfe,siDTfe,siSVMfe,siNBfe,sikNNfe,siRFfe,siLSTM
FD001,0.9402852049910874,0.3535353535353535,0.597742127153892,0.9960190136660725,0.3333333333333333,1.0,1.0,0.6506238859180035,0.650326797385621,0.7106357694592988,0.9990196078431373,0.5151515151515151
FD002,0.927061310782241,0.39147286821705424,0.5656272022551093,0.9881694855532064,0.3372093023255814,0.8705954897815362,1.0,0.6383897110641297,0.6313424947145877,0.7124735729386893,0.9988548273431995,0.45331219168428466
FD003,0.8909685086155674,0.36363636363636365,0.43256090314913853,0.9900475341651813,0.3333333333333333,0.9901960784313726,1.0,0.459298871063577,0.5499108734402852,0.6506238859180035,0.9970291146761735,0.3333333333333333
FD004,0.8554216867469879,0.39759036144578314,0.602409638554217,0.9851405622489958,0.3333333333333333,0.7951807228915663,1.0,0.5783132530120482,0.6064257028112452,0.6746987951807227,0.9987951807228915,0.34939759036144585
DE-BB,0.9454734274346344,0.19999999999999998,0.6697259062776304,0.999173076923077,0.2,0.9759351711506883,1.0,0.19999999999999998,0.9093056871289631,1.0,0.9998029556650246,0.30256410256410254
DE-IR,1.0,0.19999999999999998,1.0,0.9995162585307107,0.2,1.0,1.0,0.19999999999999998,0.991043072132849,0.9970493777599359,1.0,0.4
FE-BB,1.0,0.25,0.8968163568124291,1.0,0.25,0.9112584009775683,1.0,0.25,0.7305479183032207,0.9959784411276951,0.999736842105263,0.42152855543113105
FE-IR,1.0,0.25,0.9322979696114027,0.9996268656716417,0.25,1.0,1.0,0.25,0.9144351770558969,0.9938542581211589,1.0,0.30597014925373134
