Dataset,miHATT,miSVM,miNB,miRF,miLSTM,siHTfe,siDTfe,siSVMfe,siNBfe,sikNNfe,siRFfe,siLSTM
FD001,0.9402224657979134,0.206034169392948,0.5528672427336999,0.9959892843474932,0.1691542288557214,1.0,1.0,0.650315687226809,0.651648151934392,0.7113948853079287,0.9990049751243781,0.4531158998252766
FD002,0.9277495626657638,0.2722223884019822,0.5224282468299536,0.9881102253754607,0.1738464101282692,0.8655291471591176,1.0,0.6327469679327412,0.6300859994423706,0.7099661816201852,0.9988504354733104,0.36265934269688965
FD003,0.8900462962962963,0.22478632478632482,0.3466871812736474,0.9900315296753819,0.1691542288557214,0.9900497512437811,1.0,0.4581914817208935,0.5547994964934365,0.6515311438585095,0.997014037948496,0.1692307692307692
FD004,0.8553870250158142,0.2828495929761753,0.5584756584405486,0.9851657612314557,0.16666666666666666,0.7940012368583798,1.0,0.5600573129064257,0.6106768420192286,0.6737192282102462,0.9987951369987298,0.2451995669433417
DE-BB,0.9440054904639068,0.07024221453287195,0.6544410895832086,0.9991839241997283,0.07024221453287197,0.9756443212310923,1.0,0.07024221453287195,0.9077835558790894,1.0,0.9997973384640051,0.1816925139015239
DE-IR,1.0,0.07084377610693401,1.0,0.999514244508954,0.070843776106934,1.0,1.0,0.07084377610693401,0.991237776978189,0.9969520259592569,1.0,0.25519796592493726
FE-BB,1.0,0.10468750000000002,0.8971780876162689,1.0,0.09584664536741214,0.9064947128375962,1.0,0.10468750000000002,0.7157654091661928,0.9960498213261266,0.9997440043997198,0.2939468550300731
FE-IR,1.0,0.10230692076228684,0.9296818071411221,0.9996233327475504,0.10230692076228685,1.0,1.0,0.10230692076228684,0.91379735824146,0.9938271604938274,1.0,0.18461125679629836
