Dataset,miHATT,miSVM,miNB,miRF,miLSTM,siHTfe,siDTfe,siSVMfe,siNBfe,sikNNfe,siRFfe,siLSTM
FD001,0.06,0.6500000000000001,0.39999999999999997,0.004,0.66,0.0,0.0,0.35000000000000003,0.35000000000000003,0.29,0.001,0.49
FD002,0.07307692307692308,0.6115384615384617,0.43461538461538474,0.011923076923076923,0.6653846153846154,0.13076923076923078,0.0,0.36153846153846153,0.36923076923076925,0.2884615384615384,0.001153846153846154,0.55
FD003,0.11,0.6399999999999999,0.5700000000000001,0.01,0.66,0.009999999999999998,0.0,0.54,0.45000000000000007,0.35000000000000003,0.003,0.67
FD004,0.14457831325301204,0.602409638554217,0.39759036144578314,0.014859437751004017,0.6666666666666666,0.20481927710843367,0.0,0.42168674698795183,0.39357429718875503,0.3253012048192771,0.0012048192771084336,0.6506024096385542
DE-BB,0.05771248688352571,0.7869884575026233,0.33788037775445956,0.0008394543546694649,0.7869884575026233,0.02518363064008395,0.0,0.7869884575026233,0.0944386149003148,0.0,0.00020986358866736623,0.6967471143756558
DE-IR,0.0,0.784771573604061,0.0,0.0005076142131979696,0.7847715736040609,0.0,0.0,0.784771573604061,0.009137055837563452,0.0030456852791878176,0.0,0.601015228426396
FE-BB,0.0,0.7351778656126483,0.10540184453227933,0.0,0.7628458498023716,0.0935441370223979,0.0,0.7351778656126483,0.27536231884057966,0.003952569169960473,0.0002635046113306983,0.5652173913043478
FE-IR,0.0,0.742749054224464,0.06809583858764189,0.00037831021437578815,0.742749054224464,0.0,0.0,0.742749054224464,0.08701134930643127,0.006305170239596468,0.0,0.6860025220680959
